1,ParchmentBakingSheets,97,13
2,MightyVeggieZucchiniAppleWatermelon&BarleyVegetable&FruitSmoothie,92,18
3,PeanutButterAndBananaMilkChocolateBar,45,19
4,OatsSelectStartsGlutenFreeQuick1-Minute,130,14
5,PomegranateBerrySparklingWaterwithJuice,115,7
6,OrganicBalsamicVinegarofModena,19,13
7,OhMyYog!GingeredPearTrilayerYogurt,120,16
8,TheCompletePeanutButterCookie,3,19
9,MiniCan,77,7
10,OrganicCoconutFruitBars,37,1
11,"GreekSeasoning,AllPurpose",104,13
12,"OrganicDarkChocolatewithAlmonds,72%Cacao",45,19
13,MapleLeafCremeCookies,61,19
14,OrangesCaraCara,24,4
15,RawPure&SimpleOrganicBarewithFlaxInstantMultigrainHotCereal,130,14
16,GarlicSpread,104,13
17,D35000IU,47,11
18,SageDeodorantSpray,80,11
19,HotSauceSalsaPicante,72,13
20,DicedOnionGreekYogurtDip,67,20
21,GilletteFusionProGlideSensitive2in1ShaveGelOceanBreeze,55,11
22,CreamyChocolateHardCandy,45,19
23,FreshScentGentleSalineWipesforStuffyNoses,102,18
24,DeluxeKumquatFruitSpread,88,13
25,OrangeContourSoda,77,7
26,WhiteCheddarBakedSnackCrackers,78,19
27,SignatureRecipesCreamyAlfredoPastaSauce,9,9
28,MultigrainCrackers,78,19
29,FireRoastedChile&GarlicCoarseGroundBlendSeasoningSalt,104,13
30,KidsGourmetSuperfoodSnackAwesomeFruit&YogurtFilledPouches,92,18
31,HuskedCoconut,100,21
32,Spinach&FetaPierogi,38,1
33,Elbows,131,9
34,ProActiveHealthSmartPuppyDryDogFood,40,8
35,BrassPolish,114,17
36,CheeseSlices,21,16
37,Vermouth,134,5
38,"9\""FlakyDeepDishPieCrusts",119,1
39,SARALEE14OZENGLISHMUFFINS,93,3
40,DegletNoorDates,117,19
41,GlutenFreeRawGreenSuperfoodChocolateDrinkPowder,65,11
42,OrganicMatchaCookingGrade,61,19
43,BRightComplexCapsules,47,11
44,OrganicVegetarianChiliTameTomato,59,15
45,OhMyYog!TrilayerYogurtAppleCinnamon,21,16
46,PushUpSherbertPopVarietyPack,37,1
47,SoppressataPiccante,96,20
48,GlutenFreeCinnamonRolls,93,3
49,PeacefulPatchouliLiquidRockDeodorant,80,11
50,MiniCabrieSoftRipenedGoatCheese,2,16
51,SinusRinseRegularRefillPackets,11,11
52,WildAlaskanFishOil1000mg,47,11
53,OrganicBlackSeedlessGrapes,24,4
54,DustersDustingKit(1Handle+5UnscentedRefills),114,17
55,NonfatwithFOSOrganicOriginalKefir,120,16
56,100%WholeWheatMiniBagels,93,3
57,BlackberrySeltzer,115,7
58,LightTongolTunaInSpringWater,95,15
59,LasagnaNo.80,131,9
60,OatmealCupCranberryPumpkinSeed,130,14
61,OrganicMapleButter,36,16
62,CremeEgg,37,1
63,CensoredRichCopperAle,27,5
64,SuperiorTouchBeefBase,69,15
65,WholeGrainRye&OatBranCrispBread,78,19
66,CounterAttackTablets,47,11
67,FatFreeMiniPretzelThins,107,19
68,ReplenishingRichFacialMoisturizer,73,11
